fecha;mes;festivo;npasajeros;intensidad_evento;inten_lluvia;ocupacion_trafico;semana_mes;day_of_week
2015-01-01;1;1;1125;0;0.0;0.0;0;3
2015-01-02;1;0;3592;0;0.0;0.0;0;4
2015-01-03;1;0;3001;0;0.0;0.0;0;5
2015-01-04;1;0;2260;0;0.0;0.0;0;6
2015-01-05;1;0;2767;0;0.0;0.0;0;0
2015-01-06;1;1;1342;0;0.0;0.0;0;1
2015-01-07;1;0;3867;0;0.0;0.0;0;2
2015-01-08;1;0;3904;0;0.0;0.0;1;3
2015-01-09;1;0;3678;0;0.0;0.0;1;4
2015-01-10;1;0;2631;0;0.0;0.0;1;5
2015-01-11;1;0;2112;0;0.0;0.0;1;6
2015-01-12;1;0;3982;0;0.0;78.2;1;0
2015-01-13;1;0;3887;0;0.0;77.1262135922;1;1
2015-01-14;1;0;3684;0;0.0;100.898809524;1;2
2015-01-15;1;0;3768;0;1.4;108.414141414;1;3
2015-01-16;1;0;3978;0;0.0;111.15037594;1;4
2015-01-17;1;0;2440;0;0.0;68.64;1;5
2015-01-18;1;0;1181;0;4.5;56.075;1;6
2015-01-19;1;0;3509;0;0.0;87.5204081633;1;0
2015-01-20;1;0;3553;0;0.0;75.28125;1;1
2015-01-21;1;0;3632;0;0.2;91.6759259259;1;2
2015-01-22;1;0;3691;0;0.0;79.0725806452;2;3
2015-01-23;1;0;3704;0;0.0;105.685950413;2;4
2015-01-24;1;0;2552;0;0.0;76.3676470588;2;5
2015-01-25;1;0;1983;0;0.0;56.8604651163;2;6
2015-01-26;1;0;3638;0;0.0;66.8970588235;2;0
2015-01-27;1;0;3927;0;0.0;85.9270833333;2;1
2015-01-28;1;0;3885;0;0.0;82.6293706294;2;2
2015-01-29;1;0;3644;0;0.1;84.1484375;2;3
2015-01-30;1;0;3574;0;1.9;89.9882352941;2;4
2015-01-31;1;0;2067;0;0.0;78.28125;2;5
2015-02-01;2;0;1546;0;0.0;74.829787234;0;6
2015-02-02;2;0;3359;0;1.1;90.7899159664;0;0
2015-02-03;2;0;3765;0;2.8;80.5425531915;0;1
2015-02-04;2;0;3497;0;0.0;96.5192307692;0;2
2015-02-05;2;0;3581;0;0.0;90.232;0;3
2015-02-06;2;0;3285;0;0.0;94.2626262626;0;4
2015-02-07;2;0;1848;0;0.0;91.9393939394;0;5
2015-02-08;2;0;1878;0;0.0;82.8552631579;1;6
2015-02-09;2;0;3606;0;0.0;124.575949367;1;0
2015-02-10;2;0;3744;0;0.0;81.1851851852;1;1
2015-02-11;2;0;3845;0;0.0;78.5213675214;1;2
2015-02-12;2;0;3778;0;0.0;103.669117647;1;3
2015-02-13;2;0;3834;0;0.0;110.322033898;1;4
2015-02-14;2;0;1680;0;0.1;83.4545454545;1;5
2015-02-15;2;0;1877;0;0.1;86.4814814815;1;6
2015-02-16;2;0;3930;0;0.0;80.0333333333;1;0
2015-02-17;2;0;3897;0;0.1;83.2894736842;1;1
2015-02-18;2;0;3712;0;0.0;92.9880952381;1;2
2015-02-19;2;0;4022;0;0.0;82.0877192982;1;3
2015-02-20;2;0;3610;0;0.0;99.5573770492;1;4
2015-02-21;2;0;2544;0;0.0;87.0224719101;1;5
2015-02-22;2;0;1931;0;0.0;105.1;2;6
2015-02-23;2;0;3839;0;0.0;79.9075630252;2;0
2015-02-24;2;0;3651;0;0.0;91.875;2;1
2015-02-25;2;0;3835;0;0.0;104.915584416;2;2
2015-02-26;2;0;3743;0;0.0;86.8115942029;2;3
2015-02-27;2;0;3721;0;0.0;113.376344086;2;4
2015-02-28;2;0;2051;0;0.0;88.5901639344;2;5
2015-03-01;3;0;1881;0;0.0;80.5111111111;0;6
2015-03-02;3;0;3682;0;0.0;77.8055555556;0;0
